YEAR,P,D,E,R,RLONG,CPI
1871,4.44,0.26,0.4,6.35,5.32,12.464061
1872,4.86,0.3,0.43,7.81,5.36,12.654392
1873,5.11,0.33,0.46,8.35,5.58,12.939807
1874,4.66,0.33,0.46,6.86,5.47,12.368896
1875,4.54,0.3,0.36,4.96,5.07,11.512651
1876,4.46,0.3,0.28,5.33,4.59,10.846575
1877,3.55,0.19,0.3,5.03,4.45,10.94174
1878,3.25,0.18,0.31,4.9,4.34,9.2290893
1879,3.58,0.2,0.38,4.25,4.22,8.2776793
1880,5.11,0.26,0.49,5.1,4.02,9.9903306
1881,6.19,0.32,0.44,4.79,3.7,9.4194198
1882,5.92,0.32,0.43,5.26,3.62,10.18058
1883,5.81,0.33,0.4,5.35,3.63,9.9903306
1884,5.18,0.31,0.31,5.65,3.62,9.2290893
1885,4.24,0.24,0.27,4.22,3.52,8.2776793
1886,5.2,0.22,0.33,4.26,3.37,7.9922321
1887,5.58,0.25,0.36,6.11,3.52,7.9922321
1888,5.31,0.23,0.26,5.02,3.67,8.3728446
1889,5.24,0.22,0.3,4.68,3.45,7.9922321
1890,5.38,0.22,0.29,5.41,3.42,7.6116519
1891,4.84,0.22,0.34,5.97,3.62,7.801942
1892,5.51,0.24,0.37,3.93,3.6,7.3262127
1893,5.61,0.25,0.26,8.52,3.75,7.8970911
1894,4.32,0.21,0.16,3.32,3.7,6.8504835
1895,4.25,0.19,0.25,3.09,3.46,6.5650524
1896,4.27,0.18,0.21,5.76,3.6,6.6601934
1897,4.22,0.18,0.31,3.44,3.4,6.4699033
1898,4.88,0.2,0.35,3.55,3.35,6.6601934
1899,6.08,0.21,0.48,3.36,3.1,6.7553425
1900,6.1,0.3,0.48,4.64,3.15,7.8970911
1901,7.07,0.32,0.5,4.3,3.1,7.7067929
1902,8.12,0.33,0.63,4.72,3.18,7.8970911
1903,8.46,0.35,0.53,5.5,3.3,8.6582595
1904,6.68,0.31,0.49,4.34,3.4,8.2776793
1905,8.43,0.33,0.67,4.17,3.48,8.4679289
1906,9.87,0.4,0.76,5.47,3.43,8.4679289
1907,9.56,0.44,0.66,6.23,3.67,8.8485091
1908,6.85,0.4,0.58,5.32,3.87,8.6582595
1909,9.06,0.44,0.76,3.65,3.76,8.9436744
1910,10.08,0.47,0.73,5.26,3.91,9.8951653
1911,9.27,0.47,0.59,4,3.98,9.2290893
1912,9.12,0.48,0.7,4.35,4.01,9.134005
1913,9.3,0.48,0.63,5.65,4.45,9.8
1914,8.37,0.42,0.52,4.64,4.16,10
1915,7.48,0.43,0.88,3.65,4.24,10.1
1916,9.33,0.56,1.53,3.64,4.05,10.4
1917,9.57,0.69,1.28,4.25,4.23,11.7
1918,7.21,0.57,0.99,5.98,4.57,14
1919,7.85,0.53,0.93,5.56,4.5,16.5
1920,8.83,0.51,0.8,7.3,4.97,19.3
1921,7.11,0.46,0.29,7.44,5.09,19
1922,7.3,0.51,0.69,4.58,4.3,16.9
1923,8.9,0.53,0.98,4.96,4.36,16.8
1924,8.83,0.55,0.93,4.34,4.06,17.3
1925,10.58,0.6,1.25,3.87,3.86,17.3
1926,12.65,0.69,1.24,4.28,3.68,17.9
1927,13.4,0.77,1.11,4.26,3.34,17.5
1928,17.53,0.85,1.38,4.64,3.33,17.3
1929,24.86,0.97,1.61,6.01,3.6,17.1
1930,21.71,0.98,0.97,4.15,3.29,17.1
1931,15.98,0.82,0.61,2.43,3.34,15.9
1932,8.3,0.5,0.41,3.36,3.68,14.3
1933,7.09,0.44,0.44,1.46,3.31,12.9
1934,10.54,0.45,0.49,1.01,3.12,13.2
1935,9.26,0.47,0.76,0.75,2.79,13.6
1936,13.76,0.72,1.02,0.75,2.65,13.8
1937,17.59,0.8,1.13,0.88,2.68,14.1
1938,11.31,0.51,0.64,0.88,2.56,14.2
1939,12.5,0.62,0.9,0.56,2.36,14
